"#","ML #","St","Current Price","List Price","Sale Price","Address","Numof Acres","Numof Stories","Numof Possible Bedrooms","Numof Garage Spaces","Zip Code","Owner Zip Code","Beds Total","Baths Total","Sq Ft Total","Numof Rooms","Baths Half","Baths Full","Assessed Value","Age","Basement Description","Additional Exterior Features","Additional Interior Features","Additional Rooms","Additional Structures","Attic Description","Change Date","Chng Info","City","City Village Tax","Close Date","Closed Date Received","Chng Type","Contract Date","DOM","Driveway Description","Expiration Date","Floor Description","Garage Description","Heating Fuel Description","Furnished YN","List Date","Listing Type","Lot Dimensions Depth","Lot Dimensions Frontage","Lot Information"
"501","B474874","S","$144,000","$144,500","$144,000","7277 Woodland DR","0.65","1","","1.0","14075","14075","3","1.0","1,012","5","0","1","$115,000","61","Full","Garage Door Opener, Storage","Ceiling Fan, Circuit Breakers - Some, Copper Plumbing - Some, Drapes - Some, Natural Woodwork - some, Sump Pump","1st Floor Bedroom, 1st Floor Master Bedroom, Laundry-Basement, Living Room","Shed","Crawl Space","","NEW","Boston","$0","07/27/2015","08/04/2015","","05/21/2015","6","Concrete, Stone/Gravel","","Hardwood-Some, Tile-Some, Wall To Wall Carpet-Some","Detached","Gas","","05/15/2015","Exclusive Right To Sell","238","119","Neighborhood Street"
"501","B479412","S","$140,000","$140,000","$140,000","7467 Feddick RD","3.10","1.5","","1.0","14075","14075","3","2.0","1,592","6","0","2","$135,000","139","Partial","Other - See Remarks","Other - See Remarks","Other - See Remarks","","Partial","","NEW","Boston","$0","12/01/2015","12/14/2015","","06/29/2015","0","Blacktop","","Hardwood-Some","Attached","Gas","","06/29/2015","Exclusive Right To Sell","483","300","Agricultural District"
"501","B471420","S","$131,325","$124,900","$131,325","7336 Woodland DR","0.73","1","","2.0","14075","14075","2","1.0","800","4","0","1","$110,000","59","Full","Garage Door Opener, Patio","Circuit Breakers - Some, Copper Plumbing - Some","1st Floor Bedroom, Porch - Open","Shed","Crawl Space","","NEW","Boston","$0","06/18/2015","06/18/2015","","04/08/2015","2","Blacktop","","Hardwood-Some, Wall To Wall Carpet-Some","Attached","Gas","","04/06/2015","Exclusive Right To Sell","317","100","Other - See Remarks"
"501","B467736","S","$130,000","$129,900","$130,000","6723 Pinehurst DR","0.44","1","","1.5","14025","14025","3","1.1","1,232","7","1","1","$128,800","49","Full, Partially Finished","Cable TV Available, Garage Door Opener, Patio, Thermal Windows - Some","Attic Fan, Ceiling Fan, Circuit Breakers - Some, Copper Plumbing - Some, Drapes - Some, Natural Woodwork - some, Sump Pump","1st Floor Bedroom, Family Room, Laundry-Basement, Living Room, Porch - Open","Shed","Crawl Space","","NEW","Boston","$0","05/07/2015","05/08/2015","","02/07/2015","9","Concrete","","Hardwood-Some, Linoleum/Vinyl, Wall To Wall Carpet-Some","Attached","Gas","","01/29/2015","Exclusive Right To Sell","210","90","Wooded Lot"
"501","B476508","S","$130,000","$129,900","$130,000","6697 Pinehurst DR","0.43","1","","2.5","14025","14025","3","1.1","1,230","7","1","1","$143,000","51","Full, Partially Finished","Cable TV Available, Patio","Ceiling Fan, Circuit Breakers - Some, Sump Pump","1st Floor Bedroom, 1st Floor Master Bedroom, Basement / Rec Room, Laundry-Basement, Living Room, Workshop","Shed","Crawl Space","","NEW","Boston","$0","09/15/2015","09/24/2015","","06/07/2015","5","Concrete","","Hardwood-Some, Tile-Some, Wall To Wall Carpet-Some","Attached","Gas","","06/02/2015","Exclusive Right To Sell","209","90","Neighborhood Street"
"501","B481813","S","$129,000","$139,900","$129,000","7497 Crestwood CIR","2.00","1","","2.0","14127","14127","2","1.0","1,192","6","0","1","$118,300","67","Full","Cable TV Available, Pool-In Ground","Cathedral Ceiling, Circuit Breakers - Some, Copper Plumbing - Some","1st Floor Bedroom, Porch - Enclosed","Barn / Outbuilding, Shed","Crawl Space","","NEW","Boston","$0","12/18/2015","01/07/2016","","08/03/2015","0","Stone/Gravel","","Hardwood-Some","Attached","Gas","","08/03/2015","Exclusive Right To Sell","520","166","Other - See Remarks"
"501","B477272","S","$125,000","$128,500","$125,000","7120 Boston Cross RD","1.00","1","","0.0","14025","14025","2","1.0","1,136","6","0","1","$111,000","89","Finished, Full","Cable TV Available, High Speed Internet, Satellite Dish","Other - See Remarks","In-Law - see Remarks, Laundry-1st Floor","Shed","Pull Down Stairs","","NEW","Boston","$0","08/20/2015","09/14/2015","","06/12/2015","2","Stone/Gravel","","Hardwood-Some, Laminate-Some, Tile-Some","Detached","Gas","","06/10/2015","Exclusive Right To Sell","264","165","Secondary Road"
"501","B474233","S","$120,000","$124,900","$120,000","8095 Boston State RD","0.48","1","","1.5","14075","14075","2","1.0","998","6","0","1","$109,400","56","Crawl Space","Cable TV Available, Deck, Garage Door Opener","Ceiling Fan, Circuit Breakers - Some, Copper Plumbing - Some, Sliding Glass Door","1st Floor Bedroom, Den/Study, Laundry-1st Floor, Living Room, Porch - Open","Shed","Pull Down Stairs","","NEW","Boston","$0","09/09/2015","09/17/2015","","05/27/2015","19","Circular, Concrete","","Laminate-Some, Wall To Wall Carpet-Some","Attached","Gas","","05/08/2015","Exclusive Right To Sell","230","90","Rural Road"
"501","B470433","S","$119,900","$109,900","$119,900","9046 Boston State RD","1.00","1.7","","0.0","14025","14025","3","1.1","1,365","7","1","1","$99,000","65","Full","Deck","Ceiling Fan, Circuit Breakers - Some","Laundry-Basement","Shed","Scuttle Access","","NEW","Boston","$0","05/26/2015","06/08/2015","","03/29/2015","6","Concrete","","Hardwood-Some, Laminate-Some","","Gas","","03/23/2015","Exclusive Right To Sell","1","75","Other - See Remarks"
"501","B463809","S","$90,100","$94,500","$90,100","6739 Mill ST","0.15","2","","0.0","14025","14025","3","1.1","1,880","8","1","1","$65,800","199","Partially Finished","Cable TV Available, Deck, Thermal Windows - Some","Ceiling Fan, Copper Plumbing - Some","Basement / Rec Room, Florida/Sun Room- Heated, Laundry-1st Floor, Morning Room, Other - See Remarks, Porch - Open","Shed","Full, Stair Access","","NEW","Boston","$0","04/02/2015","05/06/2015","","11/07/2014","10","Shared, Stone/Gravel","","Tile-Some, Wall To Wall Carpet-Some","No Garage","Gas","","10/28/2014","Exclusive Right To Sell","151","42","Near Bus Line"
"501","B470380","S","$89,900","$89,900","$89,900","7026 Sunset LN","0.47","1","","1.5","14025","14025","3","1.0","1,008","5","0","1","$114,800","56","Full","Garage Door Opener","Circuit Breakers - Some, Copper Plumbing - Some, Natural Woodwork - some","1st Floor Bedroom, Living Room, Porch - Open","Shed","Crawl Space","","NEW","Boston","$0","06/15/2015","01/18/2016","","03/23/2015","0","Blacktop","","Hardwood-Some, Laminate-Some, Wall To Wall Carpet-Some","Detached","Gas","","03/23/2015","Exclusive Right To Sell","270","75","Wooded Lot"
"501","B469690","S","$187,000","$199,900","$187,000","10195 Erie RD","8.00","2","","1.0","14081","14081","4","2.0","2,342","12","0","2","$169,000","165","Exterior Walkout, Partial","Cable TV Available, Partially Fenced Yard, Storage, Thermal Windows - Some","Ceiling Fan, Circuit Breakers - Some, Natural Woodwork - some, Sliding Glass Door, Sump Pump","1st Floor Bedroom, Bonus Room, Foyer/Entry Hall, Laundry-1st Floor, Living Room, Office, Workshop","Barn / Outbuilding, Shed","Crawl Space","","NEW","Brant","$0","07/09/2015","07/22/2015","","04/01/2015","21","Circular, Parking Area, Stone/Gravel","","Ceramic-Some, Hardwood-Some, Laminate-Some, Linoleum/Vinyl, Wall To Wall Carpet-Some","Detached","Gas","","03/11/2015","Exclusive Right To Sell","8","330","Agricultural District, Horses Permitted, Near Bus Line, Uncapped Nat Gas Well"
"501","B473748","S","$125,000","$129,900","$125,000","11357 Mileblock RD","1.00","1","","2.0","14111","14111","4","2.0","1,820","8","0","2","$130,000","60","Full","Deck, Garage Door Opener, Other - See Remarks, Patio, Private Yard - see Remarks","Ceiling Fan, Circuit Breakers - Some, Copper Plumbing - Some, Drapes - Some, Electrical Fuses - some, Natural Woodwork - some, Other - See Remarks, Sump Pump","1st Floor Master Bedroom, Florida/Sun Room- Heated, Laundry-1st Floor, Living Room, Master Bedroom Bath, Other - See Remarks, Porch - Open","Shed","Unfinished","","NEW","Brant","$0","09/14/2015","09/14/2015","","05/06/2015","5","Blacktop","","Hardwood-Some, Tile-Some, Wall To Wall Carpet-Some","Attached","Gas","","05/01/2015","Exclusive Right To Sell","167","317","Agricultural District, Corner Lot"
"501","B469678","S","$1,225,000","$1,200,000","$1,225,000","57 Nottingham Ter","0.42","2","","2.0","14216","14216","6","5.1","4,429","11","1","5","$692,000","85","Full, Partially Finished","Cable TV Available, Fully Fenced Yard, Garage Door Opener, Lawn Sprinkler System, Patio, Thermal Windows - Some","Cedar Closets, Circuit Breakers - Some, Copper Plumbing - Some, Drapes - Some, Leaded Glass - some, Natural Woodwork - some, Security System - Owned, Stained Glass - Some","Basement / Rec Room, Family Room, Foyer/Entry Hall, Laundry-2nd Floor, Living Room, Master Bedroom Bath","","Finished, Full","","NEW","Buffalo","$7,335","05/20/2015","06/05/2015","","03/17/2015","6","Circular, Concrete","","Ceramic-Some, Hardwood-Some, Tile-Some, Wall To Wall Carpet-Some","Detached","Gas","","03/11/2015","Exclusive Right To Sell","210","88","Corner Lot, Neighborhood Street"
"501","B461906","S","$900,000","$949,900","$900,000","100 Meadow RD","0.84","2","","3.0","14216","14216","6","5.2","5,807","14","2","5","$835,000","88","Partially Finished","Awning, Balcony, Cable TV Available, Partially Fenced Yard, Patio","Circuit Breakers - Some, Electrical Fuses - some, Natural Woodwork - some, Security System - Leased, Wet Bar","Basement / Rec Room, Den/Study, Foyer/Entry Hall, Laundry-Basement, Living Room, Master Bedroom Bath, Office","","Full","","NEW","Buffalo","$0","03/20/2015","03/31/2015","","10/01/2014","5","Blacktop, Circular, Turnaround","","Ceramic-Some, Hardwood-Some, Tile-Some","Attached","Gas","","09/26/2014","Exclusive Right To Sell","268","136","Neighborhood Street"
"501","B482260","S","$883,000","$869,000","$883,000","688 W Ferry ST","0.78","2","","4.5","14222","14222","6","3.1","6,500","12","1","3","$500,000","130","Full","Garage Door Opener, Partially Fenced Yard, Patio, Pool-In Ground","Circuit Breakers - Some, Natural Woodwork - some, Security System - Owned","Bonus Room, Den/Study, Family Room, Foyer/Entry Hall, Garage Apartment, Laundry-2nd Floor, Library, Living Room, Master Bedroom Bath","Shed","Full","","NEW","Buffalo","$3,315","11/04/2015","11/09/2015","","08/11/2015","4","Blacktop","","Ceramic-Some, Hardwood-Some, Marble-Some","Detached","Gas","","08/07/2015","Exclusive Right To Sell","400","85","Near Bus Line, Neighborhood Street"
"501","B485489","S","$725,000","$779,000","$725,000","14 Chapin PKWY","0.20","3","","2.0","14209","14209","5","5.1","4,674","9","1","5","$575,000","115","Full","Awning, Cable TV Available, Garage Door Opener, Patio, Private Yard - see Remarks","Circuit Breakers - Some, Copper Plumbing - Some, Natural Woodwork - some, Security System - Owned","Family Room, Foyer/Entry Hall, Laundry-1st Floor, Master Bedroom Bath, Porch - Open","","Finished, Full","","NEW","Buffalo","$6,095","12/09/2015","12/09/2015","","10/21/2015","30","Blacktop","","Ceramic-Some, Hardwood-Some","Detached","Gas","","09/21/2015","Exclusive Right To Sell","110","80","Near Bus Line, Neighborhood Street"
"501","B472102","S","$706,000","$705,000","$706,000","169 Morris AVE","0.35","2","","3.0","14214","14214","4","3.2","3,846","11","2","3","$380,000","86","Full, Partially Finished","Balcony, Cable TV Available, Deck, Garage Door Opener, Patio","Cedar Closets, Circuit Breakers - Some, Copper Plumbing - Some, Natural Woodwork - some, Security System - Owned, Skylight, Two Story Foyer","Family Room, Foyer/Entry Hall, Laundry-Basement, Living Room, Master Bedroom Bath, Porch - Open","","Finished, Partially Finished","","NEW","Buffalo","$4,028","06/25/2015","07/13/2015","","04/21/2015","6","Concrete","","Ceramic-Some, Hardwood-Some, Tile-Some","Detached","Gas","","04/15/2015","Exclusive Right To Sell","190","80","Near Bus Line, Neighborhood Street"
"501","B474371","S","$670,000","$669,000","$670,000","106 Windsor AVE","0.21","3","","2.5","14209","14209","4","4.1","3,752","10","1","4","$370,000","111","Full","Cable TV Available, Fully Fenced Yard, Garage Door Opener, Patio, Thermal Windows - Some","Circuit Breakers - Some, Copper Plumbing - Some, Security System - Owned","Family Room, Foyer/Entry Hall, Great Room, Laundry-2nd Floor, Living Room, Master Bedroom Bath, Porch - Open, Workshop","","Finished, Full","","NEW","Buffalo","$3,922","07/31/2015","08/20/2015","","05/18/2015","7","Concrete","","Ceramic-Some, Hardwood-Some, Wall To Wall Carpet-Some","Detached","Gas","","05/11/2015","Exclusive Right To Sell","154","60","Near Bus Line, Neighborhood Street"
"501","B477739","S","$650,000","$650,000","$650,000","88 Oakland Pl","0.19","3","","2.5","14222","14222","4","4.2","4,200","14","2","4","$505,000","62","Full","Fully Fenced Yard, Garage Door Opener","Circuit Breakers - Some, Copper Plumbing - Some, Sauna, Security System - Owned, Stained Glass - Some, Two Story Foyer, Water Softener - Owned, Wet Bar","1st Floor Master Bedroom, Den/Study, Family Room, Foyer/Entry Hall, Guest Suite, Laundry-2nd Floor, Library, Living Room, Master Bedroom Bath, Porch - Open","","Partial","","NEW","Buffalo","$1","06/18/2015","06/18/2015","","06/15/2015","0","Blacktop","","Ceramic-Some, Hardwood-Some, Wall To Wall Carpet-Some","Attached","Gas","","06/15/2015","Exclusive Right To Sell","150","55","Neighborhood Street"
"501","B488630","S","$640,000","$650,000","$640,000","57 Tudor Pl","0.26","2","","3.0","14222","14222","5","4.1","4,146","12","1","4","$475,000","85","Full","Awning, Cable TV Available, Hot Tub, Partially Fenced Yard, Patio, Private Yard - see Remarks, Wood Screens/Storms-some","Copper Plumbing - Some, Drapes - Some, Electrical Fuses - some","Basement / Rec Room, Florida/Sun Room- Heated, Foyer/Entry Hall, Laundry-Basement, Library, Living Room, Master Bedroom Bath, Porch - Open","","Finished, Full, Stair Access","","NEW","Buffalo","$9,305","12/17/2015","12/22/2015","","11/06/2015","1","Blacktop","","Ceramic-Some, Hardwood-Some, Linoleum/Vinyl, Tile-Some, Wall To Wall Carpet-Some","Detached","Gas","","11/05/2015","Exclusive Right To Sell","188","60","Near Bus Line, Neighborhood Street, Wooded Lot"
"501","B468004","S","$575,000","$589,000","$575,000","70 Windsor AVE","0.31","2","","2.0","14209","14209","5","3.1","3,370","14","1","3","$325,000","85","Full","Fully Fenced Yard","Security System - Owned","Den/Study, Family Room, Florida/Sun Room- Heated, Foyer/Entry Hall, Laundry-1st Floor, Master Bedroom Bath","","Crawl Space","","NEW","Buffalo","$3","05/04/2015","05/05/2015","","02/07/2015","4","Blacktop","","Ceramic-Some, Hardwood-Some, Laminate-Some, Wall To Wall Carpet-Some","Attached","Gas","","02/03/2015","Exclusive Right To Sell","100","137","Corner Lot, Near Bus Line"
"501","B480666","S","$575,000","$575,000","$575,000","17 Lincoln Woods LN","0.11","1.5","","2.0","14222","14222","3","2.0","1,902","6","0","2","$295,000","55","Partial","Cable TV Available, Garage Door Opener, Patio, Thermal Windows - Some","Circuit Breakers - Some, Copper Plumbing - Some, Leaded Glass - some, Security System - Owned, Sliding Glass Door","Living Room","","Unfinished","","NEW","Buffalo","$0","11/16/2015","12/09/2015","","07/20/2015","0","Blacktop","","Other - See Remarks","Attached","Gas","","07/20/2015","Exclusive Right To Sell","97","50","Cul De Sac, Private Road"
"501","B474608","S","$569,000","$569,000","$569,000","137 Chapin PKWY","0.19","2","","2.0","14209","14209","4","2.2","2,940","10","2","2","$375,000","65","Full, Partially Finished","Cable TV Available, Fully Fenced Yard, Garage Door Opener, Patio","Security System - Owned, Sliding Glass Door","Basement / Rec Room, Den/Study, Florida/Sun Room- Heated, Laundry-Basement, Living Room, Master Bedroom Bath, Porch - Open","","Crawl Space","","NEW","Buffalo","$3,938","07/24/2015","08/13/2015","","06/12/2015","30","Blacktop","","Other - See Remarks, Wall To Wall Carpet-Some","Attached","Gas","","05/13/2015","Exclusive Right To Sell","67","118","Corner Lot, Near Bus Line, Neighborhood Street"
"501","B463594","S","$550,000","$539,500","$550,000","189 Bidwell PKWY","0.21","3","","1.0","14222","14222","4","3.1","2,846","9","1","3","$305,000","105","Full","Awning, Partially Fenced Yard","Circuit Breakers - Some, Copper Plumbing - Some, Leaded Glass - some, Natural Woodwork - some, Security System - Owned","Guest Suite, In-Law - see Remarks, Laundry-2nd Floor, Laundry-Basement, Master Bedroom Bath, Porch - Enclosed, Porch - Open","","Finished, Stair Access","","NEW","Buffalo","$5,975","01/26/2015","01/28/2015","","11/05/2014","11","Pavers","","Hardwood-Some","Detached","Gas","","10/25/2014","Exclusive Right To Sell","110","82","Near Bus Line, Neighborhood Street"
"501","B475509","S","$540,000","$549,900","$540,000","69 Starin AVE","0.29","2.5","","2.5","14214","14214","4","3.2","4,206","10","2","3","$370,000","95","Full","Awning, Cable TV Available, Fully Fenced Yard, Garage Door Opener, Lawn Sprinkler System, Patio, Thermal Windows - Some","Circuit Breakers - Some, Copper Plumbing - Some, Security System - Owned","Bonus Room, Den/Study, Family Room, Florida/Sun Room- Heated, Foyer/Entry Hall, Garage Apartment, Laundry-Basement, Library, Living Room, Morning Room, Office, Porch - Open","","Finished, Full","","NEW","Buffalo","$3,885","09/25/2015","09/28/2015","","06/08/2015","17","Blacktop","","Ceramic-Some, Wood-Some","Detached","Gas","","05/22/2015","Exclusive Right To Sell","200","63","Near Bus Line, Neighborhood Street"
"501","B486211","S","$464,000","$489,000","$464,000","15 Middlesex RD","0.19","2","","2.0","14216","20015","6","3.1","3,327","10","1","3","$445,000","85","Full, Partially Finished","Cable TV Available, Partially Fenced Yard, Patio","Cedar Closets, Circuit Breakers - Some, Copper Plumbing - Some, Natural Woodwork - some","Basement / Rec Room, Bonus Room, Family Room, Foyer/Entry Hall, Laundry-1st Floor, Porch - Open","","Full, Partially Finished","","NEW","Buffalo","$3,060","12/09/2015","12/10/2015","","10/16/2015","16","Blacktop","","Ceramic-Some, Hardwood-Some, Tile-Some","Detached","Gas","","09/30/2015","Exclusive Right To Sell","127","65","Near Bus Line, Neighborhood Street"
"501","B479575","S","$463,000","$469,900","$463,000","10 Saybrook Pl","0.10","2.5","","2.0","14209","14209","4","2.2","2,381","10","2","2","$265,000","100","Full","Cable TV Available, Deck, Garage Door Opener","Circuit Breakers - Some, Copper Plumbing - Some, Leaded Glass - some, Skylight","Family Room, Foyer/Entry Hall, Guest Suite, Laundry-2nd Floor, Studio","","Finished","","NEW","Buffalo","$2,809","09/21/2015","09/28/2015","","07/10/2015","4","Concrete","","Hardwood-Some, Tile-Some, Wall To Wall Carpet-Some","Detached","Gas","","07/06/2015","Exclusive Right To Sell","111","40","Neighborhood Street"
"501","B487489","S","$460,000","$439,900","$460,000","484 Norwood AVE","0.11","2","","2.0","14222","14222","4","2.1","2,700","12","1","2","$190,000","115","Full","Cable TV Available, Garage Door Opener, Partially Fenced Yard, Thermal Windows - Some","Cathedral Ceiling, Circuit Breakers - Some, Copper Plumbing - Some, Pex Plumbing- Some, Skylight","Family Room, Foyer/Entry Hall, Laundry-1st Floor, Living Room, Master Bedroom Bath, Porch - Enclosed","Barn / Outbuilding","Full","","NEW","Buffalo","$2,014","12/18/2015","12/29/2015","","10/20/2015","0","Concrete","","Hardwood-Some, Tile-Some","Detached","Gas","","10/20/2015","Exclusive Right To Sell","138","35","Neighborhood Street"
"501","B473529","S","$449,000","$449,900","$449,000","41 Irving PL","0.12","2","","0.0","14201","14201","4","2.1","2,764","10","1","2","$215,000","135","Full","Awning, Deck, Fully Fenced Yard","Circuit Breakers - Some, Copper Plumbing - Some, Drapes - Some, Sliding Glass Door","Den/Study, Foyer/Entry Hall, Laundry-Basement, Living Room, Porch - Open","","Crawl Space, Pull Down Stairs, Unfinished","","NEW","Buffalo","$2,288","07/13/2015","07/14/2015","","05/04/2015","3","Concrete","","Ceramic-Some, Hardwood-Some, Wall To Wall Carpet-Some","No Garage","Gas","","05/01/2015","Exclusive Right To Sell","154","34","Near Bus Line, Neighborhood Street, Preservation District"
"501","B488492","S","$439,900","$439,900","$439,900","66 Ashland AVE","0.11","2","","0.0","14222","14222","3","2.0","2,208","8","0","2","$130,000","125","Partial","Other - See Remarks","Other - See Remarks","Living Room","","Full, Stair Access","","NEW","Buffalo","$1,378","11/04/2015","11/04/2015","","11/04/2015","0","Pavers","","Ceramic-Some, Hardwood-Some, Tile-Some, Wall To Wall Carpet-Some","No Garage","Gas","","11/04/2015","Exclusive Right To Sell","172","27","Neighborhood Street"
"501","B467973","S","$435,000","$399,900","$435,000","760 Auburn","0.08","2","","2.0","14222","14222","4","2.2","2,408","9","2","2","$200,000","115","Full","Cable TV Available, Fully Fenced Yard, Garage Door Opener, Patio, Thermal Windows - Some","Circuit Breakers - Some, Copper Plumbing - Some, Security System - Owned","Bonus Room, Foyer/Entry Hall, Laundry-1st Floor, Living Room, Porch - Open","","Finished, Full","","NEW","Buffalo","$2,100","04/14/2015","04/21/2015","","02/07/2015","4","Concrete","","Ceramic-Some, Hardwood-Some","Detached","Gas","","02/03/2015","Exclusive Right To Sell","118","31","Near Bus Line, Neighborhood Street"
"501","B484948","S","$430,000","$439,000","$430,000","275 Middlesex RD","0.17","2","","2.0","14216","14216","5","3.1","2,712","11","1","3","$319,000","100","Full","Awning, Cable TV Available, Deck, Hot Tub","Circuit Breakers - Some, Copper Plumbing - Some, Hot Tub, Leaded Glass - some, Other - See Remarks, Security System - Leased, Sliding Glass Door","Bonus Room, Family Room, Laundry-Basement, Living Room, Master Bedroom Bath, Office, Other - See Remarks","","Full, Partial","","NEW","Buffalo","$6,053","11/12/2015","11/14/2015","","09/22/2015","8","Blacktop","","Hardwood-Some, Tile-Some, Wall To Wall Carpet-Some","Detached","Gas","","09/14/2015","Exclusive Right To Sell","124","58","Near Bus Line, Neighborhood Street"
"501","B486661","S","$418,000","$424,000","$418,000","38 Highland AVE","0.11","2","","0.0","14222","14222","4","2.1","2,180","13","1","2","$230,000","120","Full","Other - See Remarks","Leaded Glass - some, Natural Woodwork - some","Den/Study, Family Room, Florida/Sun Room- Heated, Living Room, Master Bedroom Bath","","Full","","NEW","Buffalo","$4,144","12/29/2015","01/06/2016","","10/06/2015","0","Parking Area","","Hardwood-Some, Wall To Wall Carpet-Some","No Garage","Gas","","10/06/2015","Exclusive Right To Sell","138","33","Near Bus Line, Neighborhood Street"
"501","B476350","S","$405,000","$425,000","$405,000","142 Rumsey","0.22","1","","1.5","14209","14209","3","2.1","1,532","5","1","2","$265,000","60","Full","Cable TV Available, Garage Door Opener, Patio","Circuit Breakers - Some, Copper Plumbing - Some, Security System - Leased, Sliding Glass Door","Laundry-Basement, Living Room, Master Bedroom Bath, Porch - Screened","","Crawl Space","","NEW","Buffalo","$2,809","09/08/2015","09/15/2015","","06/10/2015","9","Blacktop, Concrete","","Other - See Remarks, Wall To Wall Carpet-Some","Attached","Gas","","06/01/2015","Exclusive Right To Sell","138","69","Neighborhood Street"
"501","B476839","S","$402,999","$405,000","$402,999","19 Irving Pl","0.06","2","","2.0","14201","14201","2","2.0","2,292","8","0","2","$160,000","21","Crawl Space","Partially Fenced Yard","Circuit Breakers - Some, Copper Plumbing - Some, Drapes - Some, Sauna, Security System - Owned, Wet Bar","1st Floor Bedroom, Foyer/Entry Hall, Laundry-1st Floor, Living Room","","Partial, Pull Down Stairs","","NEW","Buffalo","$2,450","06/18/2015","06/18/2015","","06/06/2015","1","Concrete","","Hardwood-Some, Marble-Some, Wall To Wall Carpet-Some","Attached","Gas","","06/05/2015","Exclusive Right To Sell","49","50","Neighborhood Street"
"501","B471983","S","$400,000","$389,000","$400,000","794 Auburn AVE","0.10","3","","1.5","14222","14222","4","2.1","2,496","8","1","2","$235,000","115","Full","Cable TV Available, Fully Fenced Yard, Garage Door Opener, High Speed Internet, Partially Fenced Yard","Circuit Breakers - Some, Copper Plumbing - Some, Security System - Owned","Family Room, Foyer/Entry Hall, Laundry-Basement, Living Room","","Finished, Full","","NEW","Buffalo","$2,491","06/24/2015","07/01/2015","","04/17/2015","3","Concrete","","Hardwood-Some, Laminate-Some, Wall To Wall Carpet-Some","Detached","Gas","","04/14/2015","Exclusive Right To Sell","112","40","Near Bus Line, Neighborhood Street"
"501","B484944","S","$400,000","$399,900","$400,000","309 Woodbridge AVE","0.21","2","","2.0","14214","","4","2.1","2,756","8","1","2","$290,000","95","Full","Fully Fenced Yard, Garage Door Opener, Patio, Pool-In Ground","Circuit Breakers - Some","Foyer/Entry Hall, Living Room, Master Bedroom Bath","","None","","NEW","Buffalo","$5,181","11/20/2015","11/25/2015","","10/04/2015","21","Concrete","","Hardwood-Some","Detached","Gas","","09/13/2015","Exclusive Right To Sell","163","56","Near Bus Line, Neighborhood Street"
"501","B485351","S","$400,000","$399,900","$400,000","435 Woodbridge AVE","0.22","2","","2.0","14214","14214","5","3.1","2,560","9","1","3","$295,000","86","Full","Fully Fenced Yard, Patio, Storage","Circuit Breakers - Some, Security System - Leased","Family Room, Living Room","","Finished","","NEW","Buffalo","$4,922","11/06/2015","11/11/2015","","09/30/2015","12","Blacktop","","Ceramic-Some, Hardwood-Some","Detached","Gas","","09/18/2015","Exclusive Right To Sell","170","57","Near Bus Line, Neighborhood Street"
"501","B466598","S","$395,000","$395,000","$395,000","468 Ferry Circle Richmond S","0.10","2","","1.0","14213","14202","4","1.1","2,950","8","1","1","$179,000","105","Full","Cable TV Available","Other - See Remarks","Foyer/Entry Hall, Living Room","","Full","","NEW","Buffalo","$3","01/07/2015","01/07/2015","","01/07/2015","1","Blacktop","","Hardwood-Some","Detached","Gas","","01/06/2015","Exclusive Right To Sell","120","35","Near Bus Line, Neighborhood Street"
"501","B478444","S","$390,000","$389,000","$390,000","166 Summit AVE","0.14","2","","2.0","14214","14209","4","2.1","2,114","10","1","2","$250,000","105","Partially Finished","Cable TV Available, Partially Fenced Yard, Thermal Windows - Some","Cedar Closets, Ceiling Fan, Circuit Breakers - Some, Copper Plumbing - Some, Leaded Glass - some, Natural Woodwork - some, Stained Glass - Some","Basement / Rec Room, Bonus Room, Foyer/Entry Hall, Laundry-Basement, Living Room, Porch - Enclosed, Porch - Open","","Finished, Stair Access","","NEW","Buffalo","$2,650","08/20/2015","08/21/2015","","06/25/2015","2","Concrete","","Ceramic-Some, Hardwood-Some, Laminate-Some","Detached","Gas","","06/23/2015","Exclusive Right To Sell","162","38","Near Bus Line, Neighborhood Street"
"501","B466109","S","$379,900","$379,900","$379,900","51 Tillinghast Pl","0.16","2","","2.0","14216","14216","3","2.1","2,400","7","1","2","$235,000","107","Full","Balcony, Cable TV Available, Fully Fenced Yard, Garage Door Opener, Patio","Circuit Breakers - Some, Copper Plumbing - Some, Leaded Glass - some, Natural Woodwork - some","Bonus Room, Foyer/Entry Hall, Laundry-Basement, Living Room, Master Bedroom Bath, Porch - Open, Possible Additional Bedroom","","Finished, Full","","NEW","Buffalo","$4,898","02/26/2015","02/26/2015","","12/23/2014","1","Concrete","","Ceramic-Some, Hardwood-Some","Detached","Gas","","12/22/2014","Exclusive Right To Sell","140","50","Near Bus Line, Neighborhood Street"
"501","B475709","S","$379,900","$379,900","$379,900","15 Anderson Pl","0.16","1.7","","1.0","14222","14222","3","2.0","2,317","9","0","2","$115,000","155","Full","Deck, Partially Fenced Yard, Patio, Thermal Windows - Some","Circuit Breakers - Some, Copper Plumbing - Some, Other - See Remarks","1st Floor Bedroom, Bonus Room, Den/Study, Foyer/Entry Hall, Laundry-2nd Floor, Porch - Open","","Crawl Space, Stair Access, Unfinished","","NEW","Buffalo","$1,011","08/24/2015","08/28/2015","","06/17/2015","22","Concrete","","Hardwood-Some, Laminate-Some, Linoleum/Vinyl","Detached","Gas","","05/26/2015","Exclusive Right To Sell","135","50","Near Bus Line, Neighborhood Street"
